date,location_reference_id,BOH < Ideal,BOH = Ideal,BOH > Ideal,BOH > Shelf Capacity,OTL > Shelf Capacity,Ideal BOH > Shelf Capacity,Never: Q98 > POG,Never: Ideal BOH > POG,Sometimes: OTL+Casepack-1 > POG,Always: OTL+Casepack-1 <= POG,Non-POG,Backroom_OH,Total OH,Prop OH in Backroom,Demand Fulfilled,Demand,Fill Rate,Inbound,Outbound,BOO,Point_Forecast,DFE_Q98,EOP,BOP,EOH,BOH,OTL,BOH_OOS,EOH_OOS,region
2018-04-22,All_Stores_MW,0.1615377969762419,0.28105399568034556,0.5574082073434126,0.20499352051835854,0.11428077753779697,0.11431533477321815,816,4687,4737,46629,1474,48308.13000006974,324307.0,0.14895802434134858,14952.23998288624,100274.5801782608,0.14911296518325226,2054.0,14952.23998288624,5958.0,15357.319980025291,100274.5801782608,126029.0,128290.0,309354.49010521546,324307.0,219300.0,0.02842332613390929,0.028889848812095033,MW
2018-04-23,All_Stores_MW,0.11868960884617372,0.2691055650286777,0.6122048261251486,0.20215642708279508,0.11000878416782928,0.0982104411030159,474,4170,5074,47063,1508,45238.96999991685,317945.0,0.14228552108042855,11017.459983116016,87119.3402171135,0.12646399703738545,2853.7999999783933,11017.459983116016,6949.0,11348.669982735068,87119.3402171135,126017.0,128593.0,306895.0000116378,317945.0,213883.0,0.029831722902564632,0.03038288637420555,MW
2018-04-24,All_Stores_MW,0.11884611415006709,0.2752262015343861,0.6059276843155469,0.19924656827329962,0.11046891664086421,0.09841056868613893,483,4144,5125,47079,1541,46643.159999806434,320537.0,0.145515681496384,10795.159989032894,86878.56021165848,0.12425574229974706,3061.7500000074506,10795.159989032894,6183.529999986291,11113.249986337498,86878.56021165848,126382.0,129081.0,309694.16008497216,320537.0,214459.0,0.029552413389754704,0.029948051054460384,MW
2018-04-25,All_Stores_MW,0.11329382749880113,0.2793382201822292,0.6073679523189697,0.2008460642597794,0.11079331369459477,0.0995238747687881,470,4244,5120,47267,1537,6944.8900103122,320482.0,0.021670140632897322,10833.1599846147,87349.56021118164,0.12402077306884877,8145.01999062486,10833.1599846147,5871.719999855384,11121.769985014573,87349.56021118164,126428.0,128617.0,306700.1401569173,320482.0,214470.0,0.028721655134616702,0.02920120572720422,MW
2018-04-26,All_Stores_MW,0.12142476308412019,0.2803776894897064,0.5981975474261734,0.2017267770840858,0.11284247458851453,0.10226510499974202,496,4321,5124,46902,1532,7397.649978753179,317426.0,0.023305116716189535,10915.629984170198,87745.46021795273,0.12440107963485113,7263.759994516149,10915.629984170198,6726.500000834465,11264.909983620048,87745.46021795273,126666.0,129191.0,302849.07996054925,317426.0,216082.0,0.02610804396057995,0.026675610133636035,MW
2018-04-27,All_Stores_MW,0.1438742264131428,0.2913341033287938,0.5647916702580634,0.19977934458446103,0.11605095761002603,0.1088451791963316,650,4496,4990,46638,1555,7725.609983323142,312610.0,0.024713252881619723,12171.23998420313,92817.30020856857,0.13113115719648483,8429.65999603644,12171.23998420313,9569.04000731185,12658.889983093366,92817.30020856857,125832.0,128145.0,296289.2900178805,312610.0,218802.0,0.024789256839455945,0.025789101691116895,MW
2018-04-28,All_Stores_MW,0.16374309392265193,0.30723411602209943,0.5290227900552487,0.2043335635359116,0.11679903314917127,0.11754143646408839,935,4637,4831,46444,1576,9664.210001822561,314358.0,0.030742688278404116,15237.449989844114,102568.24017810822,0.14855914426711922,14211.420005232096,15237.449989844114,8535.410000456497,15802.499988438562,102568.24017810822,125325.0,127567.0,294555.7101232838,314358.0,220918.0,0.014312845303867403,0.015348756906077348,MW
2018-04-29,All_Stores_MW,0.13048952978921585,0.30563700969400076,0.5638734605167833,0.2099216890330148,0.1179666747162521,0.115776037534067,833,4555,4867,46373,1786,12272.800041781738,320461.0,0.038297328042356915,14912.03998603858,100352.34018039703,0.14859683350913544,16857.170006716624,14912.03998603858,7765.110002782196,15330.499990623444,100352.34018039703,124396.0,127004.0,300898.60001575574,320461.0,218294.0,0.01007348121571739,0.010780694794218098,MW
2018-04-30,All_Stores_MW,0.07481984622280453,0.28067786091094027,0.6445022928662553,0.20680619246284868,0.11416060407544047,0.10205840775092231,460,4164,5056,46723,1842,8803.119972974062,318879.0,0.02760645879149791,11145.979985803366,87532.74021816254,0.12733498297921034,13712.179990919307,11145.979985803366,7116.339994577691,11418.359984576702,87532.74021816254,124786.0,127115.0,303213.6799942944,318879.0,212639.0,0.009464538151225735,0.010171361583284487,MW
2018-05-01,All_Stores_MW,0.07820718436891028,0.28925448807491333,0.6325383275561763,0.2071326331764016,0.11657785365685412,0.10474761584493077,467,4277,5024,46581,1878,7938.519995206967,314677.0,0.025227518996326286,10894.149983555079,86895.64021635056,0.1253705014018091,9478.739996446297,10894.149983555079,6702.310000862926,11137.959981556982,86895.64021635056,124220.0,126756.0,299610.2100650612,314677.0,212293.0,0.008588131822649904,0.008950281959749598,MW
2018-05-02,All_Stores_MW,0.07968278596672701,0.2965434014309111,0.6237738126023619,0.2056374450478407,0.11626583915179727,0.10447375226273597,486,4269,5009,46611,1871,7447.990000555292,313197.0,0.02378052791232129,10936.179987827316,87149.22021055222,0.1254879844180538,9988.829999092966,10936.179987827316,6402.4000003784895,11145.26998967491,87149.22021055222,123355.0,126132.0,298412.5600928888,313197.0,211917.0,0.007723472114472891,0.00810274976295147,MW
